[0musing CUDA on GPU 0...[0m	
[0mcreating an LSTM...[0m	
[0mseeding with  [0m	
Chocolate Chips and butter CRISCODIED Cream Cheese Frosting. Stir in the coconut milk. Stir in the coconut milk. Stir in the coconut milk. Cook on medium heat until the mixture is thickened, about 5 minutes. Remove from heat and stir in the coconut milk. Spread over the cheesecake and top with the remaining chocolate chips."]}
{"end_of_recipe": "END_OF_RECIPE"}
{"title": ["\r\n\tGreen Bean Soup Recipe - Allrecipes.com\r\n"]}
{"ingredient": ["mayonnaise"]}
{"ingredient": ["garlic powder"]}
{"ingredient": ["salt"]}
{"ingredient": ["ground black pepper"]}
{"ingredient": ["garlic powder"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground coriander"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["salt"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["chicken broth"]}
{"ingredient": ["salt"]}
{"ingredient": ["ground black pepper"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground coriander"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["salt"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cumin"]}
{"ingredient": ["ground cinnamon"]}
{"ingredient": ["ground cloves"]}
